Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101154,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101456,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,28.1241804717,95.9920280528,960,0.0000000000,11.3953520793,0,32384,1202640,0,37424051551699,37424051579989,37424054291037,37424062098271
101155,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101457,1059749,1059749,8192,256,3072,0,184,0,64,64,0x0,0x708db8121400,3.1272630121,99.7167266187,128,0.0000000000,2.7133355879,1637,9536,84096,7616,37424054229649,37424054291037,37424054448798,37424061949980
101156,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101458,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,13.9540145088,97.3213026928,960,0.0000000000,1.8815953546,0,16384,451392,0,37424054412201,37424054448798,37424054573918,37424061833720
101157,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101459,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0425628134,98.7695312500,8,0.0000000000,0.4489846357,16,96,616,24,37424054531610,37424054573918,37424054675679,37424061717493
101158,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101460,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.6266562453,94.2115461618,260,0.0000000000,0.4920738416,0,3084,25709,0,37424054649182,37424054675679,37424054806719,37424061596132
101159,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101461,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.8381233515,83.4093443775,480,0.0000000000,1.4910454770,807,23712,1256456,10593,37424054778813,37424054806719,37424054964799,37424061480389
101160,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)0, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101462,1059749,1059749,30720,256,18944,0,84,0,32,64,0x0,0x708daf3e3600,20.4205661742,97.0480876231,480,7.2970276647,0.9389953050,203314,21168,765880,21840,37424054905616,37424054964799,37424055089120,37424061362579
101161,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101463,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0444815124,98.7695312500,8,0.0000000000,0.3946881552,16,96,616,24,37424055037430,37424055089120,37424055189920,37424061244437
101162,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101464,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,30.8600696080,95.9898218830,960,0.0000000000,9.8434493019,0,32384,1202640,0,37424055164158,37424055189920,37424055345281,37424061128867
101163,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101465,1059749,1059749,8192,256,3072,0,184,0,64,64,0x0,0x708db8121400,3.3829211159,99.7167266187,128,0.0000000000,1.7583877754,2045,9536,84096,7616,37424055289994,37424055345281,37424055449921,37424061011674
101164,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101466,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,13.7609052824,97.3210883065,960,0.0000000000,1.1391461237,0,16384,451392,0,37424055414781,37424055449921,37424055586241,37424060884508
101165,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101467,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0451862521,98.7695312500,8,0.0000000000,0.3660569025,16,96,616,24,37424055542831,37424055586241,37424055687042,37424060765708
101166,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101468,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.7503003604,94.2115461618,260,0.0000000000,0.4586707350,0,3084,25709,0,37424055662000,37424055687042,37424055816962,37424060640079
101167,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101469,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.5279182783,83.3984345182,480,0.0000000000,1.6309154511,873,23712,1256456,10593,37424055790527,37424055816962,37424055976322,37424060524890
101168,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)0, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101470,1059749,1059749,30720,256,18944,0,84,0,32,64,0x0,0x708daf3e3600,19.5444326564,97.0478367637,480,6.9839345256,0.8459275631,201001,21168,765880,21840,37424055916300,37424055976322,37424056093763,37424060401554
101169,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101471,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0452456698,98.7695312500,8,0.0000000000,0.5249449008,17,96,616,24,37424056044165,37424056093763,37424056197283,37424060276207
101170,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101472,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,24.1525892732,96.1715276627,960,0.0000000000,7.9947467783,0,25088,888000,0,37424056171480,37424056197283,37424056355524,37424060275746
101171,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101473,1059749,1059749,61440,256,0,0,60,0,32,64,0x0,0x708db844b040,9.3421199806,97.9865503961,960,0.0000000000,0.3533885839,0,6144,149312,0,37424056308775,37424056355524,37424056460804,37424076847929
101172,"void miso::kernels::attn_prep_kernel<256>(miso::kernels::AttnPrepParams) [clone .kd]",1,1,101474,1059749,1059749,4608,256,1536,0,28,0,64,64,0x0,0x708daf3b2400,0.3752899904,97.9857708255,72,0.0000000000,0.8851383640,95,170,4946,288,37424056433884,37424056460804,37424056597764,37424076734220
101173,"void miso::kernels::attn_split_kernel<256>(miso::kernels::AttnSplitParams) [clone .kd]",1,1,101475,1059749,1059749,4608,256,42496,0,96,0,32,64,0x0,0x708daf3b2440,3.0824008138,96.3814238567,72,0.5328682846,0.2251674172,4992,1136,74846,22744,37424056566562,37424056597764,37424056730885,37424076617209
101174,"void miso::kernels::attn_combine_kernel<256>(miso::kernels::AttnCombineParams) [clone .kd]",1,1,101476,1059749,1059749,4096,256,0,0,16,0,32,64,0x0,0x708daf3b2480,0.6846578484,99.4561464088,64,0.0000000000,0.1327273198,0,2368,9152,0,37424056697069,37424056730885,37424056862085,37424076510469
101175,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101477,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,14.0530851815,97.3208739211,960,0.0000000000,1.6455863513,0,16384,451392,0,37424056828075,37424056862085,37424057004645,37424076398596
101176,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101478,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0449956410,98.7695312500,8,0.0000000000,0.9143215222,19,96,616,24,37424056962533,37424057004645,37424057268646,37424076283468
101177,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101479,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.7145266957,94.2115461618,260,0.0000000000,6.4637522911,0,3084,25709,0,37424057242152,37424057268646,37424057538727,37424076170433
101178,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101480,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.3561420965,83.4034306260,480,0.0000000000,1.3791906055,641,23712,1256456,10593,37424057510063,37424057538727,37424057793448,37424076057464
101179,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101481,1059749,1059749,30720,256,18944,0,108,0,32,64,0x0,0x708daf3e3640,25.2486126876,98.5036446380,480,6.2266904492,0.5483515437,303868,33456,1113176,21840,37424057731818,37424057793448,37424057931848,37424075946269
101180,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101482,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0472436295,98.7695312500,8,0.0000000000,1.0171198389,15,96,616,24,37424057871238,37424057931848,37424058043529,37424075834714
